I#ID	Name
G1	A1BG
G2	A2M
G3	NAT1
G4	NAT2
G5	SERPINA3
G6	AADAC
G7	AAMP
G8	AANAT
G9	AARS1
G10	ABAT
G11	ABCA1
G12	ABCA2
G13	ABCA3
G14	ABCB7
G15	ABCF1
G16	ABCA4
G17	ABL1
G18	AOC1
G19	ABL2
G20	ABO
G21	ABR
G22	ACAA1
G23	ACACA
G24	ACACB
G25	ACADL
G26	ACADM
G27	ACADS
G28	ACADSB
G29	ACADVL
G30	ACAT1
G31	ACAT2
G32	ASIC2
G33	ASIC1
G34	ACHE
G35	ACLY
G36	ACO1
G37	ACR
G38	ACO2
G39	ACOX1
G40	ACP1
G41	ACP2
G42	ACP5
G43	ACP3
G44	ACRV1
G45	ACTA1
G46	ACTA2
G47	ACTB
G48	ACTC1
G49	ACTG1
G50	ACTG2
G51	ACTN4
G52	ACTL6A
G53	ACTN1
G54	ACTN2
G55	ACTN3
G56	ACVR1
G57	ACVR1B
G58	ACVR2A
G59	ACVR2B
G60	ACVRL1
G61	ACY1
G62	ACYP1
G63	ACYP2
G64	ADA
G65	ADAM8
G66	ADAM10
G67	ADAR
G68	ADARB1
G69	ADARB2
G70	ADCY1
G71	ADCY2
G72	ADCY3
G73	ADCY5
G74	ADCY6
G75	ADCY7
G76	ADCY8
G77	ADCY9
G78	ADCYAP1
G79	ADCYAP1R1
G80	ADD1
G81	ADD2
G82	ADD3
G83	PLIN2
G84	ADH1A
G85	ADH1B
G86	ADH1C
G87	ADH4
G88	ADH5
G89	ADH6
G90	ADH7
G91	ADK
G92	ADM
G93	ADORA1
G94	ADORA2A
G95	ADORA2B
G96	ADORA3
G97	ADPRH
G98	PARP1
G99	PARP4
G100	ADRA1D
G101	ADRA1B
G102	ADRA1A
G103	ADRA2A
G104	ADRA2B
G105	ADRA2C
G106	ADRB1
G107	ADRB2
G108	ADRB3
G109	GRK2
G110	GRK3
G111	ADSL
G112	ADSS2
G113	AP2A1
G114	AP2A2
G115	AP1B1
G116	AP2B1
G117	AP1G1
G118	AEBP1
G119	TLE5
G120	CRISP1
G121	AFG3L1P
G122	AFM
G123	AFP
G124	AGA
G125	ACAN
G126	AGER
G127	AGL
G128	AGRP
G129	JAG1
G130	AGT
G131	AGTR1
G132	AGTR2
G133	APLNR
G134	AGXT
G135	NR0B1
G136	AHCY
G137	AHR
G138	AHSG
G139	AIF1
G140	CRYBG1
G141	AK1
G142	AK2
G143	AK4
G144	AKT1
G145	AKT2
G146	ALAD
G147	ALAS1
G148	ALAS2
G149	ALB
G150	ALCAM
G151	ABCD1
G152	ALDH1A1
G153	ALDH2
G154	ALDH3A1
G155	ALDH1B1
G156	ALDH1A3
G157	ALDH3B1
G158	ALDH3B2
G159	ALDH9A1
G160	ALDH3A2
G161	ABCD2
G162	ALDOA
G163	ALDOB
G164	ALDOC
G165	AKR1B1
G166	ALK
G167	ALOX12
G168	ALOX5
G169	ALOX5AP
G170	ALOX12B
G171	ALOX12P2
G172	ALOX15
G173	ALOX15B
G174	ALPI
G175	ALPL
G176	ALPP
G177	ALPG
G178	ALX3
G179	AMBN
G180	AMBP
G181	AMD1
G182	AMELY
G183	AMFR
G184	AMH
G185	AMHR2
G186	AMPD1
G187	AMPD2
G188	AMPD3
G189	AMPH
G190	BIN1
G191	AMT
G192	AMY1A
G193	AMY1B
G194	AMY1C
G195	AMY2A
G196	AMY2B
G197	ANG
G198	ANGPT1
G199	ANGPT2
G200	ANK1
G201	ANK2
G202	ANK3
G203	ANPEP
G204	SLC25A4
G205	SLC25A5
G206	SLC25A6
G207	ANXA1
G208	ANXA2
G209	ANXA2P2
G210	ANXA3
G211	ANXA4
G212	ANXA5
G213	ANXA6
G214	ANXA7
G215	ANXA11
G216	ANXA13
G217	AOAH
G218	AOC2
G219	AOX1
G220	APAF1
