source,target,weight_attribute
0,4,10576
0,15,376
0,2,35274
0,3,8756
0,11,526
0,10,1350
0,5,1522
0,37,33
0,17,200
0,1,14806
0,12,1026
0,6,4324
0,20,226
0,9,331
0,29,32
0,13,240
0,8,560
0,23,132
0,93,4
0,14,235
0,63,9
0,30,37
0,24,82
0,7,532
0,16,130
0,39,29
0,19,188
0,50,10
0,45,13
0,22,98
0,18,116
0,26,40
0,28,32
0,97,7
0,21,96
0,67,9
0,25,54
0,83,8
0,31,58
0,72,4
0,56,12
0,33,34
0,41,23
0,86,3
0,85,8
0,53,15
0,55,13
0,43,31
0,51,10
0,46,14
0,36,24
0,27,40
0,62,20
0,70,6
0,59,12
0,92,7
0,78,10
0,80,6
0,34,34
0,76,8
0,88,4
0,38,17
0,44,14
0,94,7
0,68,5
0,82,8
0,49,13
0,42,22
0,64,4
0,32,34
0,35,20
0,101,7
0,81,8
0,71,7
0,96,9
0,104,3
0,52,8
0,103,5
0,73,5
0,47,8
0,87,5
0,89,7
0,66,24
0,74,4
0,99,2
0,95,2
0,40,4
0,90,5
0,60,5
0,75,6
0,58,6
0,48,10
0,54,11
0,84,4
0,65,14
0,79,3
0,77,1
0,98,2
0,57,14
0,100,5
0,61,5
0,102,6
0,91,4
0,105,5
0,106,1
0,69,1
4,1,304
4,15,17
4,3,152
4,2,261
4,5,162
4,10,34
4,18,4
4,12,31
4,11,25
4,21,1
4,20,12
4,22,3
4,72,2
4,56,1
4,13,23
4,6,20
4,8,19
4,9,6
4,17,7
4,7,3
4,29,3
4,68,1
4,28,1
4,14,15
4,73,1
4,19,14
4,16,1
4,39,1
4,58,1
4,26,1
4,34,1
4,44,1
4,38,1
4,48,1
4,66,2
15,11,18
15,10,14
15,1,17
15,5,2
15,2,4
15,9,3
15,8,18
15,3,2
15,17,1
15,14,1
2,1,604
2,16,4
2,5,64
2,3,140
2,10,125
2,8,11
2,13,15
2,20,41
2,22,5
2,11,11
2,9,6
2,23,15
2,31,1
2,12,23
2,24,4
2,6,47
2,34,1
2,53,2
2,17,2
2,26,3
2,47,1
2,7,20
2,18,2
2,14,4
2,21,1
2,54,3
2,48,2
2,96,4
2,42,1
2,65,1
2,39,1
2,37,11
2,29,1
2,32,4
2,100,3
2,87,2
2,43,4
2,66,5
2,25,1
2,82,1
2,78,1
2,81,1
2,62,1
2,19,1
2,36,1
2,44,1
2,102,1
2,63,1
3,17,4
3,1,220
3,8,9
3,20,6
3,11,22
3,13,5
3,5,21
3,6,24
3,31,3
3,85,1
3,25,3
3,7,5
3,18,2
3,10,21
3,24,6
3,21,3
3,19,6
3,22,4
3,12,24
3,35,1
3,9,4
3,23,1
3,71,1
3,37,2
3,81,1
3,16,2
3,26,1
3,14,1
3,34,1
3,86,1
3,41,1
3,66,2
11,5,6
11,13,1
11,1,16
11,20,1
11,14,1
11,7,2
11,8,3
11,12,1
11,6,1
10,9,5
10,1,15
10,13,1
10,24,3
10,8,1
10,18,3
10,16,1
10,14,3
10,37,2
10,54,1
10,22,1
10,5,1
10,81,1
10,6,4
5,1,39
5,9,4
5,7,2
5,8,2
5,12,1
5,29,1
5,6,3
5,16,1
5,20,4
5,33,1
1,17,10
1,20,34
1,22,15
1,8,84
1,59,4
1,9,19
1,48,1
1,24,1
1,18,4
1,80,1
1,34,4
1,16,3
1,13,16
1,14,12
1,42,1
1,25,2
1,35,3
1,6,23
1,7,14
1,63,3
1,95,1
1,19,8
1,12,14
1,21,8
1,38,4
1,29,4
1,30,1
1,39,1
1,51,1
1,71,1
1,75,1
1,62,2
1,32,4
1,23,5
1,66,7
1,78,1
1,102,1
1,61,1
1,37,1
1,36,1
37,7,1
37,6,1
17,20,1
17,9,2
17,14,1
17,8,2
17,7,1
17,6,1
20,16,1
20,22,1
20,13,2
12,42,1
12,6,1
12,18,1
12,34,1
6,78,1
6,25,1
6,9,1
6,13,2
6,14,2
6,8,2
6,7,3
6,23,2
6,62,1
6,32,1
6,16,1
6,34,1
6,55,1
9,16,1
9,18,4
8,66,1
8,7,1
8,82,1
23,7,8
14,7,1
7,19,1
7,33,2
7,48,1
