node,size
0,82775
4,11708
15,473
2,36743
3,9458
11,634
10,1586
5,1836
1,16342
37,51
17,232
20,329
12,1124
6,4468
9,386
16,145
29,41
13,305
8,714
23,163
93,4
14,276
63,13
30,38
24,96
7,597
39,32
19,218
50,10
45,13
18,136
22,127
26,45
21,109
28,33
97,7
67,9
25,61
72,6
56,13
83,8
31,62
33,37
41,24
86,4
85,9
53,17
55,14
43,35
51,11
46,14
36,26
27,40
62,24
70,6
59,16
48,15
92,7
78,13
80,7
34,43
76,8
88,4
38,22
44,16
94,7
68,6
82,10
49,13
42,25
64,4
32,43
35,24
101,7
66,41
81,11
71,9
96,13
104,3
47,9
52,8
103,5
73,6
87,7
89,7
74,4
99,2
95,3
40,4
90,5
60,5
75,7
58,7
54,15
84,4
65,15
79,3
77,1
98,2
57,14
100,8
61,6
102,8
91,4
105,5
106,1
69,1
