pubmed_id_list,min_publication_date
15461460,2004 Oct 12
21900206,2011 Sep 6
21988832,2011 Oct 11
22658674,2012 Jun 8
23333597,2013 Jun
25113059,2014 Dec
"26186194,28514442,33961781",2015 Jul 16
"28514442,33961781",2017 May 25
28514442,2017 May 25
31273033,2019 Jul 31
33961781,2021 May 27
34037656,2021 Aug 2
34732716,2021 Nov 3
36724073,2023 Feb 28
36964488,2023 Mar 24
"1697852,7519849",1990 Sep 25
"1702714,25241761",1990 Dec 27
3643793,1986 Oct 15
7686585,1993 Jun 1
8662763,1996 May 31
"9344465,25241761",1997 Nov 1
9724081,1998 Aug
"9831625,21163940",2011 Mar
10373500,1999 Jun 25
10652313,2000 Feb 4
10681572,2000 Feb 25
"10714547,25241761",2000 Feb
10714547,2000 Feb
10731476,2000 Apr
11023837,2000 Oct 15
11435418,2001 Aug 31
12194978,2002 Nov 1
14687906,2004 Jan
15862967,2005 Feb
16289162,2006 Jun
"17110338,26618866",2006 Nov 17
18624398,2008 Sep
19490893,2009 May 29
20085233,2010 Apr 5
21163940,2011 Mar
22268729,2012 Mar 2
23602568,2013 Apr 25
25241761,2014 Dec 5
25281560,2015 Apr 6
25681748,2015 May
26465331,2015
28186131,2017 Oct
28675297,2017 Aug 4
29511261,2018 Mar 6
29665387,2018 Aug
29704455,2018 Jul
30413534,2019 Jan 4
31180492,2019 Sep 5
31300519,2019 Sep 4
31343991,2019 Jul 25
31601781,2019 Oct 10
31992359,2020 Jan 28
32529326,2020 Dec
32687490,2020 Jul
33087821,2020 Oct 21
34316702,2021 Mar
34551306,2021 Sep 21
35384245,2022 Jun 7
35391932,2022
35605301,2022 Jul 23
35831314,2022 Jul 13
35944360,2022 Oct 15
36244648,2023
36526897,2023 Feb
15231748,2004 Jul
16169070,2005 Sep 23
"2466831,9714181",1989 Apr 5
9831625,1998 Dec
"1697852,7519849,7533162",1990 Sep 25
8583572,1996 Mar
2476070,1989 Sep
15226301,2004 Sep 10
9344465,1997 Nov 1
12631277,2003 Mar
9428387,1998 Jan 1
2467766,1988 Dec 30
"10652313,12194978",2002 Nov 1
11162584,2001 Jan 26
"80233,6153632,6191979",1978 Sep 11
15950906,2005 Jun
15123239,2004 Apr
28700943,2017 Jul 11
28986522,2017 Oct 6
30463901,2018 Dec 1
12888564,2003 Oct 10
21832049,2011 Sep 30
25640309,2015 Mar 27
30021884,2018 Oct
32296183,2020 Apr
8718849,1996 Aug 20
14668352,2004 Mar 19
21674799,2011 Jul
22079093,2011 Dec 16
23414517,2013 Feb 15
24981860,2014 Jul 10
"26186194,28514442",2015 Jul 16
28027390,2017 Jan
29969578,2019 Jan
35156780,2022 Feb
35833506,2022 Jul 15
36180891,2022 Sep 30
36380368,2022 Nov 16
37827155,2023 Oct 26
15131125,2004 Jul 16
16099106,2005 Sep 15
1311327,1992 Mar 5
10829039,2000 Jun
"2190106,10048303",1990 Mar-Apr
"8732755,9261179,10759471,11317942,11735417",1996 May
"8011628,8718849",1994 Jun 21
"8849841,9698370,10512690",1998 Aug 11
3490907,1986 Dec
8216224,1993 Oct 1
123121,1975 Jan 15
2435303,1987 Jan
"9042371,9428387,10209959",1998 Jan 1
8226889,1993 Nov 5
11274154,2001 Jun 15
8267879,1993 Sep
"8718849,9635374",1996 Aug 20
"2456771,7759598",1988 Apr
21172430,2011 Apr
21516116,2011 Jun
22863883,2012 Sep
22990118,2012 Sep 18
24797263,2014 Jul
25355311,2014 Dec 19
"25416956,26186194,28514442,29892012,32296183,33961781",2014 Nov 20
"25416956,29892012",2014 Nov 20
26186194,2015 Jul 16
"26186194,26496610,28514442,33961781,35271311",2015 Jul 16
26673895,2015 Dec 17
26760575,2016
27025967,2016 Jun
27173435,2016 May 13
27542412,2016 Sep 30
