Node,Betweenness Centrality
1,1.0728955210338246e-05
310,0.0001727287996870116
368,2.10544107668208e-06
1026,0.0005993027005263326
2232,3.619218835446221e-05
2308,0.00045636808250715645
2886,5.2974571676247944e-05
3320,0.004145257280754522
4147,6.300064178621361e-05
4580,6.460974944390887e-05
5655,0.00029249690095127176
5980,3.858144528074412e-05
6472,0.003422319545835596
6606,0.0004777441063631661
6622,0.0007879787475605084
6657,0.003315856296623686
7083,0.0003747889996171095
9923,2.2800253976724505e-06
10321,3.603406873682612e-07
10422,0.00019037149532147166
10549,0.00023255440315641108
11010,3.607282425641011e-06
23198,3.9065085965579076e-05
23352,0.00043905852615821865
25813,9.854195281283746e-05
51035,7.07551822263783e-05
51131,4.541783132965058e-05
56888,0.00012981112863350721
63891,0.007237056619403149
80854,7.861085674735293e-06
84236,0.0004684938490317245
121665,0.008796068585593007
148581,0.00010155156712510617
284161,6.246063691625356e-06
284403,3.98897315277234e-05
2,0.000274163579520589
60,0.00240131132752233
259,8.286284039600777e-07
309,4.877905321444107e-05
348,0.0001596833320564143
351,0.029802549627328735
354,1.7682402718819417e-05
476,0.00041352661000745384
567,2.8627177200839524e-05
655,0.00014566375505836436
998,0.002693323807063904
1022,0.0005773460498731124
1080,0.007461927349442496
1230,0.0007624799800095425
1361,2.5014777094142594e-07
1508,0.0002444690406625458
1510,1.4076929898457503e-06
1558,3.93769024503912e-07
1562,4.015149535379099e-06
1911,2.505645124848171e-05
1990,2.3774376519780298e-06
1995,5.745668920167798e-07
2026,3.929866424226245e-05
2177,0.0009027954084623352
2193,2.9430711956689087e-05
2296,6.700128188936927e-05
2639,8.493209663316805e-06
2669,9.085674425847383e-05
2697,0.0008079745717278551
2885,0.002609082846522422
2972,2.0700599613651467e-05
3014,0.0004109394128707247
3069,0.0010727518011897136
3163,0.00022456693485402144
3309,0.00900460713684756
3312,0.010010031159170193
3316,0.00011229235695077425
3337,0.00015066312875533494
3437,5.5454914578121564e-05
3480,0.0006131829933355903
3553,1.3971992491575121e-05
3565,4.600908015105156e-07
3586,6.0194565998362235e-06
3816,9.577177754679526e-06
3817,8.582164361738689e-06
3845,0.02356178083966299
3931,5.6483087723359825e-08
3952,7.332034925662412e-06
4016,3.268947092781953e-06
4035,0.0002610608832329253
4069,7.7849265669414e-05
4313,6.504880156529564e-05
4653,1.759696877170196e-05
4692,0.00018397966547096983
4803,1.349074404597662e-06
4846,1.7767457769046042e-05
4942,5.274971232503935e-05
5047,2.8131147765412728e-05
5138,3.865891305524511e-05
5147,2.080347280364039e-05
5154,3.3474994211317336e-06
