#Tax ID,Gene ID,Interaction short phrase,product accession.version,product name,PubMed ID (PMID) list,last update timestamp,GeneRIF text
9606,28,enhanced by,NP_065202.2,histo-blood group ABO system transferase isoform A1.01,18976975,2016-07-26 14:53,"Knockdown of ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase) by siRNA inhibits HIV-1 replication in HeLa P4/R5 cells"
9606,32,enhanced by,NP_001084.3,acetyl-CoA carboxylase 2 isoform a precursor,18976975,2016-07-26 14:53,Knockdown of acetyl-CoA carboxylase beta (ACACB) by siRNA inhibits HIV-1 replication in HeLa P4/R5 cells
9606,36,enhanced by,NP_001600.1,"short/branched chain specific acyl-CoA dehydrogenase, mitochondrial isoform 1 precursor",18976975,2016-07-26 14:53,"Knockdown of acyl-CoA dehydrogenase, short/branched chain (ACADSB) by siRNA inhibits HIV-1 replication in HeLa P4/R5 cells"
9606,53,enhanced by,NP_001601.1,lysosomal acid phosphatase isoform 1 precursor,18976975,2016-07-26 14:53,"Knockdown of acid phosphatase 2, lysosomal (ACP2) by siRNA inhibits HIV-1 replication in HeLa P4/R5 cells"
9606,70,inhibited by,NP_005150.1,"actin, alpha cardiac muscle 1 isoform 1",22082156,2016-07-26 14:53,"Knockdown of actin, alpha, cardiac muscle 1 (ACTC1) by siRNA enhances the early stages of HIV-1 replication in HeLa-CD4 cells infected with viral pseudotypes HIV89.6R and HIV8.2N"
9606,102,enhanced by,NP_001101.1,disintegrin and metalloproteinase domain-containing protein 10 isoform 1 preproprotein,24725932,2016-07-26 14:53,Knockdown of ADAM metallopeptidase domain 10 (ADAM10) by siRNA inhibits HIV-1 replication in CD4+ T lymphocytes
9606,102,enhanced by,NP_001101.1,disintegrin and metalloproteinase domain-containing protein 10 isoform 1 preproprotein,"18187620,21569301,22404213",2016-07-26 14:53,Knockdown of ADAM metallopeptidase domain 10 (ADAM10) by siRNA inhibits HIV-1 replication in HeLa-derived TZM-bl cells
9606,102,incorporates,NP_001101.1,disintegrin and metalloproteinase domain-containing protein 10 isoform 1 preproprotein,27211553,2017-09-15 11:26,"HIV-1 infected clinical samples have plasma extracellular vesicles that contain elevated ADAM10, ADAM17, and TNF when compared to healthy donors"
9606,103,induces,NP_001020278.1,double-stranded RNA-specific adenosine deaminase isoform d,25272020,2017-09-15 11:26,HIV-1 infection (overnight) induces 150-kDa ADAR protein expression in primary human monocyte-derived macrophages BUT NOT in primary CD4+ T cells
9606,103,inhibited by,NP_001020278.1,double-stranded RNA-specific adenosine deaminase isoform d,25272020,2016-07-26 14:53,HIV-1 is restricted by ADAR in OM10.1 cells (latently infected with HIV-1) overexpressing 150-kDa ADAR
9606,103,inhibited by,NP_001020278.1,double-stranded RNA-specific adenosine deaminase isoform d,25272020,2016-07-26 14:53,shRNA knockdown of ADAR increases HIV-1 RNA copies in OM10.1 cells (latently infected with HIV-1); HIV is restricted by ADAR
