,gene_id,pos_min,pos_max,rel_min,rel_max,chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr12,chr13,chr14,chr15,chr16,chr17,chr18,chr19,chr20,chr21,chr22,chrX,chrY,chrM
0,1,58345183,58353492,0.995916796614525,0.9960586261921796,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1,2,9067708,9116229,0.0680683063879853,0.0684325376021192,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2,9,18170467,18223689,0.1252651613311077,0.1256320678292381,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,10,18391282,18401218,0.126787435172464,0.1268559328419508,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,12,94612391,94624053,0.8965432908597405,0.8966537995124391,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
5,13,151814116,151828488,0.7658772644053806,0.7659497687833269,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,14,218264129,218270137,0.9013201009084458,0.9013449108998588,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,15,76453351,76470117,0.9200702659778272,0.9202720347411006,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
8,16,70252298,70289506,0.7799109633921103,0.7803240306931385,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
9,18,8674617,8784570,0.0963018875414947,0.0975225387173161,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
10,19,104781006,104928155,0.7577886389249404,0.7588528379118176,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,20,137007234,137028922,0.9908525346257012,0.9910093848090352,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,21,2275881,2340728,0.0252658573997935,0.0259857610567968,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
13,22,75051048,75156283,0.4810631047461279,0.4817376413072691,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
14,23,30571442,30591522,0.1792156816560215,0.1793333944838186,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,24,93992834,94121148,0.3776038746332514,0.3781193592878548,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,25,130713043,130887675,0.9453322002339548,0.9465951595301532,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,26,150852517,150861504,0.947894329510483,0.9479508000719872,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,27,179099330,179229677,0.7195080526268558,0.7200317045921409,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
