#Tax ID;Gene ID;PubMed ID (PMID) list;last update timestamp;GeneRIF text
7;5692769;27190162;18/11/2017 13:38;we investigated how Azorhizobium caulinodans regulates ROS resistance. We found that in-frame deletions of a gene encoding the putative catalase-peroxidase katG or a gene encoding a LysR-family regulatory protein, oxyR, exhibited increased sensitivity to H2O2 We then showed that OxyR positively regulated katG expression in an H2O2-independent fashion [oxyR].
7;5692769;29150498;02/02/2019 11:27;We identified a CheZ-like protein among Alphaproteobacteria functioning in chemotaxis and the A. caulinodans-S. rostrata symbiosis [CheZ].
7;5692769;32002604;28/11/2020 13:15;Azorhizobium caulinodans c-di-GMP phosphodiesterase Chp1 involved in motility, EPS production, and nodulation of the host plant.
14;6951813;33242495;12/06/2021 12:57;Crystal structure of Dictyoglomus thermophilum beta-d-xylosidase DtXyl unravels the structural determinants for efficient notoginsenoside R1 hydrolysis.
14;6951813;34649692;23/10/2021 11:12;Improvements in xylose stability and thermalstability of GH39 beta-xylosidase from Dictyoglomus thermophilum by site-directed mutagenesis and insights into its xylose tolerance mechanism.
24;5129993;26235439;06/08/2016 11:16;study demonstrate that polar positioning of the flagellar system, but not of the chemotaxis system, depends on the GTPase FlhF.[FlhF].
24;5129993;27216815;10/06/2017 12:02;"Three Cas proteins (Cas6f, Cas7fv, Cas5fv) and mature CRISPR RNAs were shown to be required for the assembly of an interference complex termed Cascade. [Cas6f];[Cas7fv];[Cas5fv]"
24;5129993;28500045;16/12/2017 11:12;LrbS activates LrbA which further promotes the expression of lrbR in response to sodium lactate. (LrbS, Lrb, -LrbR)
24;5129993;30654014;11/04/2020 12:58;The purified recombinant putrescine monooxygenase from Shewanella putrefaciens showed Flavin-Adenine Dinucleotide and NADPH dependent N-hydroxylation activity. [putrescine monooxygenase]
24;5129993;30670544;07/12/2019 12:12;Here, the authors show that HubP also recruits a transmembrane multidomain protein, PdeB, to the flagellated cell pole.[HubP, PdeB]
